Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2025-10-31 10:38 (-05),On Demand,Jon Hosking,5,Stretching,Pre-Run Stretch,5 min Pre-Run Warm Up,2025-10-08 23:00 (-05),,,,,,,32,,,
2025-10-31 10:48 (-05),On Demand,Becs Gentry,60,Running,Endurance,60 min Endurance Run,2025-10-04 08:24 (-05),1077,,,,6.79,6.79,859,146.41,1.32,8:50
2025-10-31 11:54 (-05),On Demand,Jermaine Johnson,10,Stretching,Lower Body Stretch,10 min Lower Body Stretch,2025-03-12 00:00 (-05),,,,,,,23,,,
2025-11-02 11:28 (-06),On Demand,Alex Karwoski,20,Running,Intervals,20 min Intervals Run,2025-07-27 22:00 (-06),382,,,,7.53,2.52,289,147.80,0.50,7:58
2025-11-02 21:46 (-06),On Demand,Anna Greenberg,5,Meditation,Sleep,5 min Sleep Meditation,2024-07-11 09:00 (-06),,,,,,,,,,
2025-11-03 15:34 (-06),On Demand,Denis Morton,15,Yoga,Flow,15 min Yoga Flow,2025-08-07 22:00 (-06),,,,,,,71,,,
2025-11-04 04:43 (-06),On Demand,Becs Gentry,5,Stretching,Pre-Run Stretch,5 min Pre-Run Warm Up,2025-06-25 22:00 (-06),,,,,,,31,87.68,,
2025-11-04 04:50 (-06),On Demand,Alex Toussaint,30,Running,Music,30 min 2010s Run,2025-10-31 09:25 (-06),554,,,,7.25,3.62,391,138.58,0.66,8:17
2025-11-05 21:00 (-06),On Demand,Anna Greenberg,5,Meditation,Sleep,5 min Sleep Meditation,2024-07-11 09:00 (-06),,,,,,,,,,
2025-11-07 05:20 (-06),On Demand,Aditi Shah,20,Yoga,Morning,20 min Morning Slow Flow,2025-09-16 05:25 (-06),,,,,,,90,,,
2025-11-07 11:31 (-06),On Demand,Becs Gentry,45,Running,Theme,"45 min Countdown to TB Run, Wk1 D5",2025-11-06 23:00 (-06),817,,,,7.12,5.36,629,144.64,0.55,8:26
2025-11-07 12:18 (-06),On Demand,Matt Wilpers,10,Running,Intervals,Extra 10: HIIT,2025-04-27 22:00 (-06),176,,,,7.04,1.19,160,157.62,0,8:31
2025-11-08 10:40 (-06),On Demand,Andy Speer,10,Stretching,Full Body Stretch,10 min Full Body Stretch,2025-10-26 22:00 (-06),,,,,,,23,,,
2025-11-09 12:27 (-06),On Demand,Becs Gentry,20,Running,Endurance,20 min Endurance Run,2025-10-28 04:26 (-06),381,,,,7.36,2.45,294,149.44,0.92,8:10
2025-11-11 05:03 (-06),On Demand,Becs Gentry,30,Running,Intervals,30 min Intervals Run,2025-11-01 07:26 (-06),569,,,,7.62,3.81,418,143.58,0.21,7:52
2025-11-16 11:28 (-06),On Demand,Becs Gentry,30,Running,Music,30 min Pop Run,2025-11-14 08:23 (-06),579,,,,7.53,3.78,430,146.99,0.70,7:58
2025-11-16 12:04 (-06),On Demand,Jermaine Johnson,10,Stretching,Lower Body Stretch,10 min Lower Body Stretch,2025-03-11 23:00 (-06),,,,,,,23,,,
2025-11-19 05:09 (-06),On Demand,Becs Gentry,45,Running,Theme,"45 min Countdown to TB Run, Wk2 D5",2025-11-14 05:25 (-06),826,,,,6.97,5.24,650,148.23,1.22,8:37
2025-11-21 12:38 (-06),On Demand,Becs Gentry,60,Running,Music,60 min Rock Run,2025-03-29 07:54 (-06),1135,,,,7.23,7.25,929,154.28,1.09,8:17
